#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aome;Aome;Aome;Aome;;Aome;;;;;;;;;x
b_aome_adj;Aomean;;aomer;;;;;;;;;;;x
b_auarua;Auarua;Auarua;Auarua;;Auarua;;;;;;;;;x
b_auarua_adj;Auaruan;;auarer;;;;;;;;;;;x
b_becquena;Becquena;Becquena;Becquena;;Becquena;;;;;;;;;x
b_becquena_adj;Becquenan;;becquener;;;;;;;;;;;x
b_cearnei;Cearnei;Cearnei;Cearnei;;Cearnei;;;;;;;;;x
b_cearnei_adj;Cearnian;;cearner;;;;;;;;;;;x
b_certa;Certa;Certa;Certa;;Certa;;;;;;;;;x
b_certa_adj;Certan;;certer;;;;;;;;;;;x
b_clemair;Clemair;Clemair;Clemair;;Clemair;;;;;;;;;x
b_clemair_adj;Clemairian;;clemairer;;;;;;;;;;;x
b_denema;Denema;Denema;Denema;;Denema;;;;;;;;;x
b_denema_adj;Deneman;;denemer;;;;;;;;;;;x
b_diripia;Diripia;Diripia;Diripia;;Diripia;;;;;;;;;x
b_diripia_adj;Diripian;;diriper;;;;;;;;;;;x
b_emuna;Emuna;Emuna;Emuna;;Emuna;;;;;;;;;x
b_emuna_adj;Emunan;;emuner;;;;;;;;;;;x
b_huanme;Huanme;Huanme;Huanme;;Huanme;;;;;;;;;x
b_huanme_adj;Huanmean;;huanmer;;;;;;;;;;;x
b_malandi;Malandi;Malandi;Malandi;;Malandi;;;;;;;;;x
b_malandi_adj;Malandian;;malander;;;;;;;;;;;x
b_schialan;Schialan;Schialan;Schialan;;Schialan;;;;;;;;;x
b_schialan_adj;Schialanian;;schialaner;;;;;;;;;;;x
b_tekana;Tekana;Tekana;Tekana;;Tekana;;;;;;;;;x
b_tekana_adj;Tekanan;;tekaner;;;;;;;;;;;x
b_zamea;Zamea;Zamea;Zamea;;Zamea;;;;;;;;;x
b_zamea_adj;Zamean;;zamer;;;;;;;;;;;x
